ascension keystone secundus  28447;
ascension keystone sextus  28455;
ascension keystone tertius  28449;
ascension shard  28436;
archers' ring shard  30087;
armadyl battlestaff  21777;
armadyl buckler shard  30117;
armadyl chainskirt shard  30118;
armadyl chestplate shard  30116;
armadyl crossbow shard  30126;
armadyl helmet shard  30115;
armadyl hilt shard  30106;
armadyl rune  21773;
ascension keystone primus  28445;
ascension keystone quartus  28451;
ascension keystone quintus  28453;
abomination cape  35117;
akrisae's hood  21736;
akrisae's hood (broken)  21742;
akrisae's robe skirt  21760;
akrisae's robe skirt (broken)  21766;
akrisae's robe top  21752;
akrisae's robe top (broken)  21758;
akrisae's war mace  21744;
akrisae's war mace (broken)  21750;
amulet of farming (8)  12622;
araxyte pheromone  33870;
arcane sigil shard  30054;
bond  29492;
briefcase  33512;
bright energy  29315;
brilliant energy  29321;
barbarian assault ticket - wave 6  15469;
barbarian assault ticket - wave 7  15470;
barbarian assault ticket - wave 8  15471;
barbarian assault ticket - wave 9  15472;
barrel of monkeys  35081;
barrows - akrisae's set  21768;
barrows amulet  30030;
barrows totem  30004;
bear fur  948;
beetle bits  12127;
berserker ring shard  30089;
blood necklace shard  32692;
barbarian assault ticket - hard wave 3  31901;
barbarian assault ticket - hard wave 4  31902;
barbarian assault ticket - hard wave 5  31903;
barbarian assault ticket - hard wave 6  31904;
barbarian assault ticket - hard wave 7  31905;
barbarian assault ticket - hard wave 8  31906;
barbarian assault ticket - hard wave 9  31907;
barbarian assault ticket - wave 10  15473;
barbarian assault ticket - wave 2  15465;
barbarian assault ticket - wave 3  15466;
barbarian assault ticket - wave 4  15467;
barbarian assault ticket - wave 5  15468;
bacon  28640;
bacon heap  28646;
bacon mound  28648;
bacon pile  28644;
bacon stack  28642;
bagged plant 1  8431;
bandos chestplate shard  30120;
bandos helmet shard  30119;
bandos hilt shard  30107;
bandos tassets shard  30121;
barbarian assault ticket - hard wave 10  31908;
barbarian assault ticket - hard wave 2  31900;
crystal tool seed  32208;
crystal weapon seed  32206;
camel staff  36019;
carved evil turnip  12153;
casket  405;
challenge gem  34957;
chitin scraps  26578;
christmas cracker  962;
christmas scythe  33625;
circular hide  6169;
clockwork cat  7771;
coraxatrice egg  12119;
costume-skipping ticket  33507;
crystal armour seed  32623;
dragonstone hauberk  28539;
dragonstone helm  28541;
drygore longsword shard  30082;
drygore mace shard  30084;
drygore rapier shard  30080;
dust of armadyl  21774;
demonic title scroll (pestilent)  33956;
demonic title scroll (rending)  33958;
demonic title scroll (shattering)  33960;
demonic title scroll (terrifying)  33962;
disk of returning  981;
divine charge  36390;
divine sigil shard  30055;
dragon hatchet shard  30072;
dragon limbs shard  30127;
dragonstone boots  28545;
dragonstone gauntlets  28537;
dragonstone greaves  28543;
dagannoth hide  6155;
demon claw  33934;
demonic title scroll (blazing)  33944;
demonic title scroll (castellan)  33940;
demonic title scroll (corrupting)  33946;
demonic title scroll (deacon)  33942;
demonic title scroll (executioner)  33938;
demonic title scroll (frostborn)  33948;
demonic title scroll (general)  33936;
demonic title scroll (glorious)  33950;
demonic title scroll (infernal)  33952;
demonic title scroll (obscured)  33954;
elder energy  31312;
elysian sigil shard  30056;
fever grass  12574;
fibula piece  6167;
fish offcuts  11334;
flattened hide  6171;
flickering energy  29314;
flies  12125;
fur  6814;
grey wolf fur  958;
